零件名称,ID,功能要求,潜在失效模式,潜在失效后果 (客户/后工序),严重度 (S),潜在失效起因/机理,发生频次 (O),现行设计控制 (预防/探测),可探测度 (D),RPN,建议改进措施 (控制/预防),措施后 S,措施后 O,措施后 D,措施后 RPN,责任人,计划完成时间
压缩机排气管,1,磁场兼容性 (无磁干扰),磁化率超标 (产生磁干扰),客户: 匀场困难，谱线分裂，无法采集数据 。后工序: 装配测试时发现磁场畸变，需拆解重做。,9,1. 材质不纯 (含铁镍杂质),1,1. 规定材料牌号 (SUS304),2,18,,,,,,,
,2,换热效率 (高效冷却),热交换性能低 (短路或死区),客户: 样品温度降不下去，温控不稳定 。后工序: 系统调试时PID参数难以整定。,5,1. 安装后螺旋槽与外壁间隙过大，空气未安装预定通道流通，换热面积不足，换热不充分,3,通过公差设计保证间隙在0.03mm以内,2,30,,,,,,,
,3,冷媒传输 (无泄漏),泄漏 (焊缝开裂),客户: 压缩机不制冷,8,1. 铜管与毛细管壁厚差异大，焊接熔深难控制。2. 振动导致热影响区疲劳断裂。3. 异种金属焊接缺陷。,5,"1.设计采用插接台阶结构，保证焊接两端的壁厚一致
2.毛细管采用螺旋结构，释放应力
3. 压力测试。",3,120,增加管路的设计应力应变验证测试,8,2,2,32,张衡阳,2026-05-30 00:00:00
,4,冷媒传输 (无堵塞),冰堵或脏堵,客户: 制冷失效，压缩机过热保护 。+1后工序: 抽真空时间极长，无法达到背景真空度。,8,"1. 焊接过程产生的氧化皮落入管内。2. 干燥过滤器选型过小。
3.真空未抽到指定的真空度
4.内部结构件脏污",5,1. 充氮保护焊。,6,240,"1. 设计/工艺: 严格定义充氮保护焊接流程参数 。
2.明确真空度指标要求
3..图纸明确清洁度要求，来料检验时对清洁度进行重点检验，焊接前内部增加清洗焊接
4.对过滤器型号进行优化选型",8,2,4,64,李坤,2026-04-30 00:00:00
,5,振动控制 (低振动传递),振动过大 (气流啸叫),客户: NMR谱图出现边带 (Sidebands)，信噪比差 。后工序: 探头与制冷机耦合困难。,7,"1.冷媒流动转弯处引起冲击振动
2.排气管传递压缩机振动。
3. 冷媒两相流脉动 (液击)。",6,"1. 样机测试。
2.压缩机前端增加一个气液分离器",7,294,"1. 设计优化: 优化冷媒传输通道的转弯半径 。
2. 流体设计: 优化毛细管长度和管径。 
3. 仿真: 进行模态分析，避开压缩机频率。
4.蒸发器到探头接口增加隔振",7,3,4,84,李坤,2026-04-30 00:00:00
,6,绝热性能 (防止热漏),冷量耗散 / 结露,客户: 制冷效率低，探头外部结霜,6,1. 蒸发器与外部支架之间缺乏有效热断桥。,5,"1. 在蒸发器与外部之间填充保温棉。
2.对蒸发器末端连接结构进行下沉设计，减小接触面积",5,150,"1.增加隔热环，材料采用低热导率材料 (如 G10 或 PEEK) 。
2.优化蒸发器尺寸，增加空气气隙，在蒸发器外侧包裹麦拉膜",6,2,3,36,李坤,2026-04-30 00:00:00
气液分离器,1,气液分离匹配：选型需匹配系统工况,分离失效 (液击),对客户： 压缩机阀片断裂。,8,选型失误,3,1.建立选型规范： 强制要求按“系统最大充注量 x 70%”作为最小容积标准，而非按匹数估算。,5,120,规范冷媒的充注工艺，确保充注量不会导致带液,8,1,3,24,李坤,2026-04-30 00:00:00
,,,标准品容积或流速不匹配导致带液。,对后工序： 测试噪音大。,,仅按接口尺寸选型，未校核标准品的“有效容积”是否覆盖本系统的最大充注量（特别是在低温制热除霜工况）。,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,2,结构强度：耐压与密封。,本体泄漏 (供应商焊缝),对客户： 冷媒泄漏。,8,供应商工艺波动,1,"1、选用具有UL/CE认证的一线品牌。
2、供应商使用隔断包装，保护铜管接口不被挤压。
3、供应商出厂前100%检漏。",2,16,,,,,,,
,,,铜接口与钢壳体连接处泄漏。,对后工序： 气密测试失败。,,标准品的“铜-钢”转接焊缝质量不稳定；或在运输过程中铜管受撞击导致根部裂纹。,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,3,连接接口：与系统管路连接,装配焊接泄漏,对客户： 慢性泄漏。,7,管径配合公差大：,2,根据标准品实测尺寸，定制配管的扩口/缩口模具，确保“插接”间隙在0.05-0.15mm最佳钎焊范围。,2,28,,,,,,,
,,,在线生产时焊接不良。,对后工序： 补焊返工。,,标准品的铜接口公差范围（如+/-0.1mm）与自制配管公差叠加，导致间隙过大，焊料无法填缝。,,"配管设计限位台阶，防止插入过深顶到分离器内部结构。
4、焊接后使用氮气检漏。",,,,,,,,,
,4,抗振性能：防止疲劳断裂。,铜接口根部断裂,对客户： 突然断裂泄漏。,8,安装方式错误：,1,"探测： 振动试验。
1. 固定： 设计底座，将罐体刚性固定在底盘上，防止悬空安装。",3,24,,,,,,,
,,,运行振动导致铜管根部应力集中。,对后工序： 振动试验失败。,,标准品通常较重，若无独立固定支架，仅靠两根自带的铜管“悬空”支撑，铜管根部（特别是经过供应商二次焊接热影响区）变软，极易断裂。,,,,,,,,,,,
压缩机,1,压缩机运行 (CAJZ2432PBR),排气温度过高 (>120°C),"1. 润滑油碳化导致压缩机卡死
2. 制冷量急剧衰减
3. 实验样品温度失控",8,"1. R454C 高绝热指数特性
2. 单级压缩压比过大
3. 回气冷却不足",2,"1. 系统热平衡计算
2. 样机型式试验",2,32,,,,,,,
,2,减震系统,振动过大 (传递至NMR探头),"1. NMR图谱产生边带/噪声 (核心失效)
2. 铜管疲劳断裂
3. 客户投诉",9,"1. 实施双级悬浮减震设计
2.在排气管与探头连接处增加隔振设计，减少压缩机振动对探头的影响",5,手感振动,7,315,"1、进行模态分析，避开50/60Hz共振点
2、通过整机测试确定振动指标，调试时增加振动仪测试项",9,2,3,54,李坤,2026-06-30 00:00:00
,3,电气系统,电磁干扰 (EMI),"1. NMR信号信噪比降低
2. 干扰其他精密仪器",8,"1. 压缩机无变频器/滤波器
2. 接地不良",5,1. EMC 测试,3,120,通过实验确认压缩机的安全安装距离,8,2,2,32,李坤,2026-06-30 00:00:00
制冷系统,1,防尘滤网,滤网严重堵塞且无法清洗,制冷失效,8,"1. 滤网设计在面板背面(不可拆卸)
2. 防尘棉密度过大导致风阻过高
3. 缺乏堵塞报警",6,1.改为抽拉式滤网设计,8,384,"1. 增加保养提示标签
2.用户手册增加保养要求
3.优化防尘棉密度",8,2,2,32,李坤,2026-06-30 00:00:00
